"from_country","to_country","total_points"
"ch","me",3
"cy","me",6
"cz","me",8
"de","me",2
"dk","me",5
"ee","me",0
"es","me",6
"fi","me",3
"fr","me",7
"gb","me",0
"ge","me",0
"gr","me",18
"hr","me",17
"hu","me",4
"ie","me",0
"il","me",8
"is","me",2
"it","me",9
"lt","me",0
"lv","me",2
"md","me",19
"me","me",0
"mk","me",40
"mt","me",18
"nl","me",6
"no","me",3
"pl","me",0
"pt","me",12
"ro","me",7
"rs","me",88
"ru","me",8
"se","me",15
"si","me",63
"sm","me",29
"tr","me",5
"ua","me",12
"ad","mk",0
"al","mk",183
"am","mk",39
"at","mk",37
"au","mk",23
"az","mk",34
"ba","mk",114
"be","mk",0
"bg","mk",109
"by","mk",22
"ch","mk",102
"cs","mk",59
"cy","mk",5
"cz","mk",37
"de","mk",42
"dk","mk",24
"ee","mk",2
"es","mk",0
"fi","mk",11
"fr","mk",15
"gb","mk",31
"ge","mk",6
"gr","mk",8
"hr","mk",158
"hu","mk",12
"ie","mk",14
"il","mk",21
"is","mk",9
"it","mk",23
"lt","mk",4
"lv","mk",13
"mc","mk",4
"md","mk",28
"me","mk",62
"mk","mk",0
"mt","mk",45
"nl","mk",18
"no","mk",21
"pl","mk",13
"pt","mk",5
"ro","mk",72
"rs","mk",144
"ru","mk",28
"se","mk",18
"si","mk",132
"sk","mk",5
"sm","mk",7
"tr","mk",72
"ua","mk",27
"ad","mt",18
"al","mt",59
"am","mt",85
"at","mt",83
"au","mt",65
"az","mt",117
"ba","mt",68
"be","mt",88
"bg","mt",31
"by","mt",57
"ch","mt",72
"cs","mt",0
"cy","mt",104
"cz","mt",43
"de","mt",122
"dk","mt",90
"ee","mt",75
"es","mt",104
"fi","mt",64
"fr","mt",73
"gb","mt",161
"ge","mt",33
"gr","mt",95
"hr","mt",135
"hu","mt",56
"ie","mt",160
"il","mt",97
"is","mt",58
"it","mt",103
"lt","mt",61
"lu","mt",31
"lv","mt",66
"mc","mt",10
"md","mt",34
"me","mt",51
"mk","mt",125
"mt","mt",0
"nl","mt",107
"no","mt",126
"pl","mt",33
"pt","mt",58
"ro","mt",95
"rs","mt",39
"ru","mt",88
"se","mt",143
"si","mt",48
"sk","mt",48
"sm","mt",70
"tr","mt",93
"ua","mt",46
"yu","mt",17
"ad","nl",19
"al","nl",65
"am","nl",82
"at","nl",213
"au","nl",24
"az","nl",32
"ba","nl",21
"be","nl",278
"bg","nl",35
"by","nl",36
"ch","nl",201
"cs","nl",1
"cy","nl",50
"cz","nl",38
"de","nl",206
"dk","nl",218
"ee","nl",123
"es","nl",151
"fi","nl",134
"fr","nl",211
"gb","nl",138
"ge","nl",39
"gr","nl",89
"hr","nl",83
"hu","nl",119
"ie","nl",199
"il","nl",145
"is","nl",132
"it","nl",124
"lt","nl",104
"lu","nl",82
"lv","nl",85
"ma","nl",0
"mc","nl",49
"md","nl",41
"me","nl",18
"mk","nl",54
"mt","nl",133
"nl","nl",0
"no","nl",204
"pl","nl",64
"pt","nl",153
"ro","nl",92
"rs","nl",34
"ru","nl",35
"se","nl",190
"si","nl",101
"sk","nl",6
"sm","nl",76
"tr","nl",95
"ua","nl",69
"yu","nl",67
"ad","no",26
"al","no",62
"am","no",78
"at","no",121
"au","no",65
"az","no",79
"ba","no",44
"be","no",177
"bg","no",39
"by","no",99
"ch","no",176
"cs","no",6
"cy","no",98
"cz","no",32
"de","no",217
"dk","no",329
"ee","no",167
"es","no",123
"fi","no",217
"fr","no",97
"gb","no",161
"ge","no",48
"gr","no",104
"hr","no",92
"hu","no",106
"ie","no",249
"il","no",158
"is","no",255
"it","no",135
"lt","no",160
"lu","no",49
"lv","no",157
"ma","no",4
"mc","no",27
"md","no",106
"me","no",46
"mk","no",45
"mt","no",151
"nl","no",246
"no","no",0
"pl","no",141
"pt","no",133
"ro","no",86
"rs","no",76
"ru","no",119
"se","no",362
"si","no",143
"sk","no",27
"sm","no",84
"tr","no",57
"ua","no",98
"yu","no",27
"ad","pl",10
"al","pl",24
"am","pl",20
"at","pl",64
"au","pl",37
"az","pl",33
"ba","pl",25
"be","pl",93
"bg","pl",22
"by","pl",60
"ch","pl",28
"cs","pl",0
"cy","pl",42
"cz","pl",55
"de","pl",164
"dk","pl",36
"ee","pl",38
"es","pl",45
"fi","pl",37
"fr","pl",90
"gb","pl",134
"ge","pl",40
"gr","pl",56
"hr","pl",14
"hu","pl",65
"ie","pl",123
"il","pl",47
"is","pl",67
"it","pl",65
"lt","pl",79
"lv","pl",37
"mc","pl",0
"md","pl",24
"me","pl",15
"mk","pl",25
"mt","pl",37
"nl","pl",51
"no","pl",93
"pl","pl",0
"pt","pl",16
"ro","pl",25
"rs","pl",10
"ru","pl",32
"se","pl",58
"si","pl",42
"sk","pl",9
"sm","pl",55
"tr","pl",8
"ua","pl",107
"ad","pt",64
"al","pt",65
"am","pt",79
"at","pt",89
"au","pt",42
"az","pt",49
"ba","pt",12
"be","pt",136
"bg","pt",48
"by","pt",34
"ch","pt",258
"cs","pt",0
"cy","pt",60
"cz","pt",85
"de","pt",118
"dk","pt",63
"ee","pt",52
"es","pt",303
"fi","pt",109
"fr","pt",329
"gb","pt",119
"ge","pt",76
"gr","pt",102
"hr","pt",66
"hu","pt",32
"ie","pt",60
"il","pt",49
"is","pt",156
"it","pt",79
"lt","pt",72
"lu","pt",70
"lv","pt",95
"ma","pt",0
"mc","pt",23
"md","pt",73
"me","pt",35
"mk","pt",23
"mt","pt",47
"nl","pt",140
"no","pt",101
"pl","pt",83
"pt","pt",0
"ro","pt",45
"rs","pt",58
"ru","pt",4
"se","pt",101
"si","pt",59
"sk","pt",13
"sm","pt",29
"tr","pt",48
"ua","pt",58
"yu","pt",30
"ad","ro",34
"al","ro",42
"am","ro",26
"at","ro",86
"au","ro",15
"az","ro",91
"ba","ro",24
"be","ro",89
"bg","ro",57
"by","ro",27
"ch","ro",33
"cs","ro",12
"cy","ro",120
"cz","ro",10
"de","ro",79
"dk","ro",64
"ee","ro",37
"es","ro",199
"fi","ro",33
"fr","ro",94
"gb","ro",69
"ge","ro",30
"gr","ro",122
"hr","ro",30
"hu","ro",65
"ie","ro",120
"il","ro",188
"is","ro",46
"it","ro",103
"lt","ro",28
"lv","ro",22
"mc","ro",11
"md","ro",267
"me","ro",32
"mk","ro",80
"mt","ro",131
"nl","ro",52
"no","ro",91
"pl","ro",50
"pt","ro",85
"ro","ro",0
"rs","ro",33
"ru","ro",68
"se","ro",51
"si","ro",38
"sk","ro",7
"sm","ro",36
"tr","ro",55
"ua","ro",36
"ad","rs",0
"al","rs",44
"am","rs",32
"at","rs",121
"au","rs",60
"az","rs",21
"ba","rs",110
"be","rs",40
"bg","rs",94
"by","rs",44
"ch","rs",184
"cy","rs",71
"cz","rs",70
"de","rs",93
"dk","rs",22
"ee","rs",22
"es","rs",50
"fi","rs",72
"fr","rs",126
"gb","rs",29
"ge","rs",59
"gr","rs",66
"hr","rs",210
"hu","rs",62
"ie","rs",31
"il","rs",29
"is","rs",42
"it","rs",52
"lt","rs",17
"lv","rs",15
"md","rs",29
"me","rs",222
"mk","rs",254
"mt","rs",50
"nl","rs",75
"no","rs",69
"pl","rs",64
"pt","rs",50
"ro","rs",54
"rs","rs",0
"ru","rs",49
"se","rs",82
"si","rs",221
"sk","rs",21
"sm","rs",65
"tr","rs",0
"ua","rs",29
"ad","ru",22
"al","ru",72
"am","ru",217
"at","ru",106
"au","ru",44
"az","ru",220
"ba","ru",57
"be","ru",108
"bg","ru",73
"by","ru",212
"ch","ru",33
"cs","ru",12
"cy","ru",193
"cz","ru",66
"de","ru",127
"dk","ru",87
"ee","ru",251
"es","ru",102
"fi","ru",133
"fr","ru",81
"gb","ru",65
"ge","ru",81
"gr","ru",174
"hr","ru",138
"hu","ru",102
"ie","ru",112
"il","ru",205
"is","ru",95
"it","ru",70
"lt","ru",178
"lv","ru",240
"mc","ru",0
"md","ru",267
"me","ru",123
"mk","ru",109
"mt","ru",135
"nl","ru",103
"no","ru",88
"pl","ru",80
"pt","ru",82
"ro","ru",138
"rs","ru",106
"ru","ru",0
"se","ru",115
"si","ru",118
"sk","ru",9
"sm","ru",69
"tr","ru",50
"ua","ru",154
"ad","se",32
"al","se",120
"am","se",129
"at","se",227
"au","se",164
"az","se",100
"ba","se",74
"be","se",288
"bg","se",34
"by","se",80
"ch","se",243
"cs","se",9
"cy","se",217
"cz","se",130
"de","se",306
"dk","se",498
"ee","se",286
"es","se",226
"fi","se",384
"fr","se",196
"gb","se",328
"ge","se",130
"gr","se",84
"hr","se",81
"hu","se",86
"ie","se",302
"il","se",272
"is","se",335
"it","se",128
"lt","se",185
"lu","se",76
"lv","se",216
"ma","se",6
"mc","se",36
"md","se",122
"me","se",80
"mk","se",92
"mt","se",309
"nl","se",302
"no","se",527
"pl","se",191
"pt","se",228
"ro","se",154
"rs","se",107
"ru","se",82
"se","se",0
"si","se",198
"sk","se",45
"sm","se",114
"tr","se",97
"ua","se",114
"yu","se",70
"ad","si",8
"al","si",26
"am","si",6
"at","si",41
"au","si",20
"az","si",29
"ba","si",110
"be","si",22
"bg","si",14
"by","si",31
"ch","si",12
"cs","si",14
"cy","si",32
"cz","si",51
"de","si",31
"dk","si",22
"ee","si",31
"es","si",34
"fi","si",44
"fr","si",31
"gb","si",19
"ge","si",25
"gr","si",27
"hr","si",170
"hu","si",41
"ie","si",39
"il","si",48
"is","si",30
"it","si",27
"lt","si",34
"lu","si",0
"lv","si",39
"mc","si",7
"md","si",16
"me","si",91
"mk","si",79
"mt","si",34
"nl","si",39
"no","si",32
"pl","si",85
"pt","si",49
"ro","si",44
"rs","si",117
"ru","si",50
"se","si",30
"si","si",0
"sk","si",9
"sm","si",21
"tr","si",18
"ua","si",39
"al","sk",4
"at","sk",3
"az","sk",0
"ba","sk",11
"be","sk",4
"bg","sk",0
"by","sk",3
"ch","sk",0
"cy","sk",0
"de","sk",0
"dk","sk",0
"ee","sk",6
"es","sk",2
"fi","sk",2
"fr","sk",1
"gb","sk",0
"ge","sk",0
"gr","sk",7
"hr","sk",8
"hu","sk",0
"ie","sk",6
"il","sk",0
"is","sk",5
"it","sk",0
"lt","sk",0
"lv","sk",0
"md","sk",7
"mk","sk",3
"mt","sk",27
"nl","sk",0
"no","sk",0
"pl","sk",5
"pt","sk",9
"ro","sk",3
"rs","sk",7
"ru","sk",1
"se","sk",3
"si","sk",3
"sk","sk",0
"tr","sk",0
"ua","sk",14
"ad","sm",2
"al","sm",59
"am","sm",14
"at","sm",6
"au","sm",14
"az","sm",47
"ba","sm",10
"be","sm",14
"bg","sm",2
"by","sm",11
"ch","sm",2
"cy","sm",10
"cz","sm",14
"de","sm",1
"dk","sm",12
"ee","sm",25
"es","sm",29
"fi","sm",20
"fr","sm",17
"gb","sm",12
"ge","sm",44
"gr","sm",46
"hr","sm",3
"hu","sm",36
"ie","sm",0
"il","sm",11
"is","sm",18
"it","sm",17
"lt","sm",0
"lv","sm",6
"md","sm",31
"me","sm",39
"mk","sm",13
"mt","sm",48
"nl","sm",4
"no","sm",0
"pl","sm",36
"pt","sm",6
"ro","sm",13
"rs","sm",11
"ru","sm",9
"se","sm",0
"si","sm",3
"sm","sm",0
"tr","sm",5
"ua","sm",4
"ad","tr",15
"al","tr",113
"am","tr",16
"at","tr",70
"az","tr",72
"ba","tr",133
"be","tr",140
"bg","tr",96
"by","tr",18
"ch","tr",154
"cs","tr",2
"cy","tr",12
"cz","tr",7
"de","tr",208
"dk","tr",90
"ee","tr",14
"es","tr",55
"fi","tr",55
"fr","tr",190
"gb","tr",143
"ge","tr",37
"gr","tr",36
"hr","tr",56
"hu","tr",30
"ie","tr",24
"il","tr",42
"is","tr",31
"it","tr",23
"lt","tr",16
"lu","tr",19
"lv","tr",2
"ma","tr",12
"mc","tr",11
"md","tr",11
"me","tr",15
"mk","tr",125
"mt","tr",87
"nl","tr",168
"no","tr",59
"pl","tr",11
"pt","tr",21
"ro","tr",107
"rs","tr",3
"ru","tr",25
"se","tr",91
"si","tr",18
"sk","tr",3
"sm","tr",19
"tr","tr",0
"ua","tr",39
"yu","tr",42
"ad","ua",49
"al","ua",79
"am","ua",141
"at","ua",66
"au","ua",75
"az","ua",194
"ba","ua",54
"be","ua",117
"bg","ua",125
"by","ua",215
"ch","ua",58
"cs","ua",25
"cy","ua",148
"cz","ua",118
"de","ua",101
"dk","ua",124
"ee","ua",149
"es","ua",113
"fi","ua",65
"fr","ua",89
"gb","ua",87
"ge","ua",198
"gr","ua",97
"hr","ua",144
"hu","ua",63
"ie","ua",111
"il","ua",206
"is","ua",117
"it","ua",184
"lt","ua",258
"lv","ua",236
"mc","ua",15
"md","ua",254
"me","ua",81
"mk","ua",114
"mt","ua",115
"nl","ua",117
"no","ua",108
"pl","ua",219
"pt","ua",180
"ro","ua",114
"rs","ua",102
"ru","ua",172
"se","ua",95
"si","ua",142
"sk","ua",30
"sm","ua",69
"tr","ua",69
"ua","ua",0
"at","yu",37
"be","yu",63
"ch","yu",29
"cy","yu",59
"de","yu",37
"dk","yu",53
"es","yu",51
"fi","yu",49
"fr","yu",43
"gb","yu",69
"gr","yu",18
"ie","yu",52
"il","yu",68
"is","yu",48
"it","yu",32
"lu","yu",40
"mc","yu",18
"mt","yu",10
"nl","yu",40
"no","yu",42
"pt","yu",30
"se","yu",45
"tr","yu",80
"yu","yu",0
