"from","to","is_neighbour"
"AD","PT",FALSE
"AL","GR",TRUE
"AM","RU",FALSE
"AT","CH",TRUE
"AU","SE",NA
"AZ","RU",TRUE
"BA","HR",TRUE
"BE","SE",FALSE
"BG","GR",TRUE
"BY","UA",TRUE
"CH","PT",FALSE
"CY","GR",FALSE
"CZ","SE",FALSE
"DE","SE",FALSE
"DK","SE",TRUE
"EE","SE",FALSE
"ES","PT",TRUE
"FI","SE",TRUE
"FR","PT",FALSE
"GB","IE",TRUE
"GE","UA",FALSE
"GR","CY",FALSE
"HR","RS",TRUE
"HU","NL",FALSE
"IE","SE",FALSE
"IL","SE",NA
"IS","SE",FALSE
"IT","UA",FALSE
"LT","UA",FALSE
"LU","GB",FALSE
"LV","LT",TRUE
"MA","TR",FALSE
"MC","FR",TRUE
"MD","RO",TRUE
"ME","RS",TRUE
"MK","RS",TRUE
"MT","SE",FALSE
"NL","SE",FALSE
"NO","SE",TRUE
"PL","UA",TRUE
"PT","ES",TRUE
"RO","MD",TRUE
"RS","MK",TRUE
"RU","AZ",TRUE
"SE","NO",TRUE
"SI","RS",FALSE
"SK","EE",FALSE
"SM","GR",FALSE
"TR","BA",FALSE
"UA","BY",TRUE
"YU","GB",FALSE
